Date,SiteID,value
2019-10-10,RCC,0.0
2019-10-10,SID,0.0
2019-10-10,BWCC,0.0
2019-10-10,AFRD2,0.0
2019-10-10,TFCC,0.0
2019-10-10,SWID,0.0
2019-10-10,NSCC,0.0
2019-10-11,RCC,0.0
2019-10-11,SID,0.0
2019-10-11,BWCC,0.0
2019-10-11,AFRD2,0.0
2019-10-11,TFCC,0.0
2019-10-11,SWID,0.0
2019-10-11,NSCC,0.0
2019-10-12,RCC,0.0
2019-10-12,SID,0.0
2019-10-12,BWCC,0.0
2019-10-12,AFRD2,0.0
2019-10-12,TFCC,0.0
2019-10-12,SWID,0.0
2019-10-12,NSCC,0.0
2019-10-13,RCC,0.0
2019-10-13,SID,0.0
2019-10-13,BWCC,0.0
2019-10-13,AFRD2,0.0
2019-10-13,TFCC,0.0
2019-10-13,SWID,0.0
2019-10-13,NSCC,0.0
2019-10-14,RCC,0.0
2019-10-14,SID,0.0
2019-10-14,BWCC,0.0
2019-10-14,AFRD2,0.0
2019-10-14,TFCC,0.0
2019-10-14,SWID,0.0
2019-10-14,NSCC,0.0
2019-10-15,RCC,0.0
2019-10-15,SID,0.0
2019-10-15,BWCC,0.0
2019-10-15,AFRD2,0.0
2019-10-15,TFCC,0.0
2019-10-15,SWID,0.0
2019-10-15,NSCC,0.0
2019-10-16,RCC,0.0
2019-10-16,SID,0.0
2019-10-16,BWCC,0.0
2019-10-16,AFRD2,0.0
2019-10-16,TFCC,0.0
2019-10-16,SWID,0.0
2019-10-16,NSCC,0.0
2019-10-17,RCC,0.0
2019-10-17,SID,0.0
2019-10-17,BWCC,0.0
2019-10-17,AFRD2,0.0
2019-10-17,TFCC,0.0
2019-10-17,SWID,0.0
2019-10-17,NSCC,0.0
2019-10-18,RCC,0.0
2019-10-18,SID,0.0
2019-10-18,BWCC,0.0
2019-10-18,AFRD2,0.0
2019-10-18,TFCC,0.0
2019-10-18,SWID,0.0
2019-10-18,NSCC,0.0
2019-10-19,RCC,0.0
2019-10-19,SID,0.0
2019-10-19,BWCC,0.0
2019-10-19,AFRD2,0.0
2019-10-19,TFCC,0.0
2019-10-19,SWID,0.0
2019-10-19,NSCC,0.0
2019-10-20,RCC,0.0
2019-10-20,SID,0.0
2019-10-20,BWCC,0.0
2019-10-20,AFRD2,0.0
2019-10-20,TFCC,0.0
2019-10-20,SWID,0.0
2019-10-20,NSCC,0.0
2019-10-21,RCC,0.0
2019-10-21,SID,0.0
2019-10-21,BWCC,0.0
2019-10-21,AFRD2,0.0
2019-10-21,TFCC,0.0
2019-10-21,SWID,0.0
2019-10-21,NSCC,0.0
2019-10-22,RCC,0.0
2019-10-22,SID,0.0
2019-10-22,BWCC,0.0
2019-10-22,AFRD2,0.0
2019-10-22,TFCC,0.0
2019-10-22,SWID,0.0
2019-10-22,NSCC,0.0
2019-10-23,RCC,0.0
2019-10-23,SID,0.0
2019-10-23,BWCC,0.0
2019-10-23,AFRD2,0.0
2019-10-23,TFCC,0.0
2019-10-23,SWID,0.0
2019-10-23,NSCC,0.0
2019-10-24,RCC,0.0
2019-10-24,SID,0.0
2019-10-24,BWCC,0.0
2019-10-24,AFRD2,0.0
2019-10-24,TFCC,33.06803075763795
2019-10-24,SWID,0.0
2019-10-24,NSCC,0.0
2019-10-25,RCC,0.0
2019-10-25,SID,0.0
2019-10-25,BWCC,0.0
2019-10-25,AFRD2,0.0
2019-10-25,TFCC,33.06803075763795
2019-10-25,SWID,0.0
2019-10-25,NSCC,203.62
2019-10-26,RCC,0.0
2019-10-26,SID,0.0
2019-10-26,BWCC,0.0
2019-10-26,AFRD2,0.0
2019-10-26,TFCC,37.543736822670965
2019-10-26,SWID,0.0
2019-10-26,NSCC,321.65
2019-10-27,RCC,0.0
2019-10-27,SID,0.0
2019-10-27,BWCC,0.0
2019-10-27,AFRD2,0.0
2019-10-27,TFCC,33.06803075763795
2019-10-27,SWID,0.0
2019-10-27,NSCC,227.12
2019-10-28,RCC,0.0
2019-10-28,SID,0.0
2019-10-28,BWCC,0.0
2019-10-28,AFRD2,0.0
2019-10-28,TFCC,35.27860653331901
2019-10-28,SWID,0.0
2019-10-28,NSCC,201.32
2019-10-29,RCC,0.0
2019-10-29,SID,0.0
2019-10-29,BWCC,0.0
2019-10-29,AFRD2,0.0
2019-10-29,TFCC,49.661695319730924
2019-10-29,SWID,69.71374124
2019-10-29,NSCC,229.52
2019-10-30,RCC,0.0
2019-10-30,SID,0.0
2019-10-30,BWCC,0.0
2019-10-30,AFRD2,0.0
2019-10-30,TFCC,60.26768583178016
2019-10-30,SWID,69.71374124
2019-10-30,NSCC,264.03
2019-10-31,RCC,0.0
2019-10-31,SID,0.0
2019-10-31,BWCC,0.0
2019-10-31,AFRD2,0.0
2019-10-31,TFCC,63.04098665073457
2019-10-31,SWID,69.71374124
2019-10-31,NSCC,287.11
2019-11-01,RCC,0.0
2019-11-01,SID,0.0
2019-11-01,BWCC,0.0
2019-11-01,AFRD2,0.0
2019-11-01,TFCC,68.73018323760013
2019-11-01,SWID,69.71374124
2019-11-01,NSCC,287.11
2019-11-02,RCC,0.0
2019-11-02,SID,0.0
2019-11-02,BWCC,0.0
2019-11-02,AFRD2,0.0
2019-11-02,TFCC,68.73018323760013
2019-11-02,SWID,69.71374124
2019-11-02,NSCC,287.11
2019-11-03,RCC,0.0
2019-11-03,SID,0.0
2019-11-03,BWCC,0.0
2019-11-03,AFRD2,0.0
2019-11-03,TFCC,68.73018323760013
2019-11-03,SWID,69.71374124
2019-11-03,NSCC,287.11
2019-11-04,RCC,0.0
2019-11-04,SID,0.0
2019-11-04,BWCC,0.0
2019-11-04,AFRD2,0.0
2019-11-04,TFCC,68.73018323760013
2019-11-04,SWID,69.71374124
2019-11-04,NSCC,335.29
2019-11-05,RCC,0.0
2019-11-05,SID,0.0
2019-11-05,BWCC,0.0
2019-11-05,AFRD2,0.0
2019-11-05,TFCC,60.26768583178016
2019-11-05,SWID,36.008936
2019-11-05,NSCC,366.02
2019-11-06,RCC,0.0
2019-11-06,SID,0.0
2019-11-06,BWCC,0.0
2019-11-06,AFRD2,0.0
2019-11-06,TFCC,49.661695319730924
2019-11-06,SWID,36.008936
2019-11-06,NSCC,412.39
2019-11-07,RCC,0.0
2019-11-07,SID,0.0
2019-11-07,BWCC,0.0
2019-11-07,AFRD2,0.0
2019-11-07,TFCC,49.661695319730924
2019-11-07,SWID,36.008936
2019-11-07,NSCC,451.5
2019-11-08,RCC,0.0
2019-11-08,SID,0.0
2019-11-08,BWCC,0.0
2019-11-08,AFRD2,0.0
2019-11-08,TFCC,49.661695319730924
2019-11-08,SWID,36.008936
2019-11-08,NSCC,451.5
2019-11-09,RCC,0.0
2019-11-09,SID,0.0
2019-11-09,BWCC,0.0
2019-11-09,AFRD2,0.0
2019-11-09,TFCC,49.661695319730924
2019-11-09,SWID,36.008936
2019-11-09,NSCC,448.44
2019-11-10,RCC,0.0
2019-11-10,SID,0.0
2019-11-10,BWCC,0.0
2019-11-10,AFRD2,0.0
2019-11-10,TFCC,49.661695319730924
2019-11-10,SWID,36.008936
2019-11-10,NSCC,445.4
2019-11-11,RCC,0.0
2019-11-11,SID,0.0
2019-11-11,BWCC,0.0
2019-11-11,AFRD2,0.0
2019-11-11,TFCC,49.661695319730924
2019-11-11,SWID,36.008936
2019-11-11,NSCC,448.44
2019-11-12,RCC,0.0
2019-11-12,SID,0.0
2019-11-12,BWCC,0.0
2019-11-12,AFRD2,0.0
2019-11-12,TFCC,49.661695319730924
2019-11-12,SWID,39.774256
2019-11-12,NSCC,448.44
2019-11-13,RCC,0.0
2019-11-13,SID,0.0
2019-11-13,BWCC,0.0
2019-11-13,AFRD2,0.0
2019-11-13,TFCC,49.661695319730924
2019-11-13,SWID,39.774256
2019-11-13,NSCC,448.44
2019-11-14,RCC,0.0
2019-11-14,SID,0.0
2019-11-14,BWCC,0.0
2019-11-14,AFRD2,0.0
2019-11-14,TFCC,49.661695319730924
2019-11-14,SWID,39.774256
2019-11-14,NSCC,445.4
2019-11-15,RCC,0.0
2019-11-15,SID,0.0
2019-11-15,BWCC,0.0
2019-11-15,AFRD2,0.0
2019-11-15,TFCC,39.86264098423765
2019-11-15,SWID,39.774256
